サタン,撒旦
悪夢のマッハ,悪夢の瑪哈
Ｎｏ．３３,Ｎｏ．３３
Ｎｏ．３４,Ｎｏ．３４
Ｎｏ．３８,Ｎｏ．３８
Ｎｏ．３５,Ｎｏ．３５
Ｎｏ．３６,Ｎｏ．３６
Ｎｏ．３７,Ｎｏ．３７
Ｎｏ．３９,Ｎｏ．３９
Ｎｏ．４０,Ｎｏ．４０
Ｎｏ．４１,Ｎｏ．４１
Ｎｏ．４２,Ｎｏ．４２
Ｎｏ．４３,Ｎｏ．４３
Ｎｏ．４４,Ｎｏ．４４
Ｎｏ．４７,Ｎｏ．４７
Ｎｏ．４８,Ｎｏ．４８
Ｎｏ．５１,Ｎｏ．５１
Ｎｏ．５２,Ｎｏ．５２
ＵＢ－Ａ０１,ＵＢ－Ａ０１
ＵＢ－Ａ０２,ＵＢ－Ａ０２
ＵＢ－Ａ０３,ＵＢ－Ａ０３
ＵＢ－Ａ０４,ＵＢ－Ａ０４
ＵＢ－Ａ０５,ＵＢ－Ａ０５
ＵＢ－Ａ０６,ＵＢ－Ａ０６
ＵＢ－Ａ０７,ＵＢ－Ａ０７
ＵＢ－Ａ０８,ＵＢ－Ａ０８
ＵＢ－Ａ０９,ＵＢ－Ａ０９
ＵＢ－Ａ１０,ＵＢ－Ａ１０
ＵＢ－Ａ１１,ＵＢ－Ａ１１
ＵＢ－Ａ１２,ＵＢ－Ａ１２
ＵＢ－Ａ１３,ＵＢ－Ａ１３
ＵＢ－Ｂ０１,ＵＢ－Ｂ０１
ＵＢ－Ｂ０２,ＵＢ－Ｂ０２
ＵＢ－Ｂ０３,ＵＢ－Ｂ０３
ＵＢ－Ｂ０４,ＵＢ－Ｂ０４
ＵＢ－Ｂ０５,ＵＢ－Ｂ０５
ＵＢ－Ｂ０６,ＵＢ－Ｂ０６
ＵＢ－Ｂ０７,ＵＢ－Ｂ０７
ＵＢ－Ｂ０８,ＵＢ－Ｂ０８
ＵＢ－Ｂ０９,ＵＢ－Ｂ０９
ＵＢ－Ｂ１０,ＵＢ－Ｂ１０
ＵＢ－Ｂ１１,ＵＢ－Ｂ１１
ＵＢ－Ｂ１２,ＵＢ－Ｂ１２
ＵＢ－Ｂ１３,ＵＢ－Ｂ１３
ＵＢ－ＢＬＫ,ＵＢ－ＢＬＫ
ＪＦ－０１,ＪＦ－０１
ＪＦ－０２,ＪＦ－０２
ＪＦ－０３,ＪＦ－０３
帝王？ジャアクフロスト,帝王？邪惡霜精
Ｎｏ．５５,Ｎｏ．５５
Ｎｏ．５７,Ｎｏ．５７
Ｎｏ．５４,Ｎｏ．５４
Ｎｏ．５８,Ｎｏ．５８
Ｎｏ．５９,Ｎｏ．５９
Ｎｏ．５３,Ｎｏ．５３
Ｎｏ．５６,Ｎｏ．５６
Ｎｏ．６２,Ｎｏ．６２
Ｎｏ．６３,Ｎｏ．６３
Ｎｏ．６４,Ｎｏ．６４
Ｎｏ．６１,Ｎｏ．６１
Ｎｏ．６６,Ｎｏ．６６
Ｎｏ．６７,Ｎｏ．６７
Ｎｏ．７５,Ｎｏ．７５
Ｎｏ．７６,Ｎｏ．７６
Ｎｏ．７７,Ｎｏ．７７
Ｎｏ．７９,Ｎｏ．７９
Ｎｏ．８０,Ｎｏ．８０
Ｎｏ．７８,Ｎｏ．７８
Ｎｏ．８１,Ｎｏ．８１
Ｎｏ．６０,Ｎｏ．６０
Ｎｏ．６５,Ｎｏ．６５
Ｎｏ．７０,Ｎｏ．７０
Ｎｏ．６８,Ｎｏ．６８
Ｎｏ．６９,Ｎｏ．６９
Ｎｏ．７１,Ｎｏ．７１
Ｎｏ．７２,Ｎｏ．７２
Ｎｏ．７３,Ｎｏ．７３
Ｎｏ．７４,Ｎｏ．７４
Ｎｏ．４９,Ｎｏ．４９
Ｎｏ．５０,Ｎｏ．５０
Ｎｏ．８２,Ｎｏ．８２
Ｎｏ．８３,Ｎｏ．８３
Ｎｏ．８７,Ｎｏ．８７
Ｎｏ．８８,Ｎｏ．８８
Ｎｏ．８９,Ｎｏ．８９
Ｎｏ．８４,Ｎｏ．８４
Ｎｏ．８５,Ｎｏ．８５
Ｎｏ．８６,Ｎｏ．８６
Ｎｏ．９０,Ｎｏ．９０
Ｎｏ．９４,Ｎｏ．９４
Ｎｏ．９６,Ｎｏ．９６
Ｎｏ．９７,Ｎｏ．９７
Ｎｏ．９２,Ｎｏ．９２
Ｎｏ．９３,Ｎｏ．９３
Ｎｏ．９１,Ｎｏ．９１
Ｎｏ．９５,Ｎｏ．９５
Ｎｏ．９８,Ｎｏ．９８
Ｎｏ．９９,Ｎｏ．９９
Ｎｏ．１０２,Ｎｏ．１０２
Ｎｏ．１０３,Ｎｏ．１０３
Ｎｏ．１０４,Ｎｏ．１０４
Ｎｏ．１０５,Ｎｏ．１０５
Ｎｏ．１００,Ｎｏ．１００
Ｎｏ．１０１,Ｎｏ．１０１
ツナギ,鰻魚
ウリエル・アバター,尤利爾・化身
ラファエル・アバター,拉斐爾・化身
幻想のウリエル,幻想の尤利爾
幻想のトート,幻想の圖特
幻想のティホン,幻想の提豐
幻想のロキ,幻想の洛基
幻想のスルト,幻想の斯爾特
幻想のモト,幻想の莫特
幻想のガブリエル,幻想の加百列
幻想のイシス,幻想の伊西絲
幻想のキマイラ,幻想の奇美拉
悪夢のフェニックス,悪夢の不死鳥
早成のフェニックス,早成の不死鳥
悪夢のパワー,悪夢の能天使
狂気のパワー,狂気の能天使
悪夢のソロネ,悪夢の座天使
狂気のソロネ,狂気の座天使
悪夢のバフォメット,悪夢の巴風特
狂気のバフォメット,狂気の巴風特
悪夢のパピルサグ,悪夢の巴皮爾薩格
早成のパピルサグ,早成の巴皮爾薩格
悪夢のホウオウ,悪夢の鳳凰
狂気のホウオウ,狂気の鳳凰
狂気のセンリ,狂気の仙狸
悪夢のハクタク,悪夢の白澤
狂気のハクタク,狂気の白澤
早成のカイチ,早成の隗豸
狂気のトウコツ,狂気の檮兀
狂気のトウテツ,狂気の饕餮
悪夢のカマソッソ,悪夢のKA瑪索茨
早成のカマソッソ,早成のKA瑪索茨
悪夢のレギオン,悪夢の惡靈軍團
狂気のレギオン,狂気の惡靈軍團
狂気のキウン,狂気の迦温
早成のリリム,早成の莉莉姆
狂気のリリス,狂気の莉莉絲
未熟なフラロウス,未熟な佛勞洛斯
碧海のオーディン,碧海の奥汀
碧海のフレスベルグ,碧海の弗雷斯貝爾古
碧海のエンジェル,碧海の天使
碧海のリリス,碧海の莉莉絲
碧海のヘル,碧海の地獄
碧海の未熟なモスマン,碧海の未熟な天蛾人
碧海のアラハバキ,碧海の荒霸吐
碧海のオセ,碧海の欧賽
碧海のキングフロスト,碧海の霜精之王
ヌエ ,奴延 
焦熱のギリメカラ,焦熱の基力梅KA拉
焦熱のトキサダ,焦熱の時貞
焦熱のカルティケーヤ,焦熱のKA爾凱蒂耶
再生する者フラロウス,再生する者佛勞洛斯
異形のギュウキ,異形の牛鬼
異形のバイコーン,異形の双角獣
未熟なフォーモリア,未熟な弗莫爾
誘惑のアルプ,誘惑の阿爾普
非凡なキウン,非凡な迦温
非凡なロア,非凡な羅瓦
強雷のリリム,強雷の莉莉姆
厄年のミズチ,厄年の蛟
厄年のシキオウジ,厄年の式王子
ＤＢ アルマ,ＤＢ 阿爾瑪
ＤＢ アルコ,ＤＢ 阿爾科
ＤＢ ハリト,ＤＢ 哈里特
ＤＢ ミルワ,ＤＢ 密爾沃
Ｎｏ．１０６,Ｎｏ．１０６
Ｎｏ．１１１,Ｎｏ．１１１
Ｎｏ．１０７,Ｎｏ．１０７
Ｎｏ．１０８,Ｎｏ．１０８
Ｎｏ．１０９,Ｎｏ．１０９
Ｎｏ．１１０,Ｎｏ．１１０
Ｎｏ．１１４,Ｎｏ．１１４
Ｎｏ．１１５,Ｎｏ．１１５
Ｎｏ．１２０,Ｎｏ．１２０
Ｎｏ．１１６,Ｎｏ．１１６
Ｎｏ．１１７,Ｎｏ．１１７
Ｎｏ．１１８,Ｎｏ．１１８
Ｎｏ．１１９,Ｎｏ．１１９
Ｎｏ．１２１,Ｎｏ．１２１
Ｎｏ．１２２,Ｎｏ．１２２
Ｎｏ．１２７,Ｎｏ．１２７
Ｎｏ．１２８,Ｎｏ．１２８
Ｎｏ．１３４,Ｎｏ．１３４
Ｎｏ．１２９,Ｎｏ．１２９
Ｎｏ．１３０,Ｎｏ．１３０
Ｎｏ．１３１,Ｎｏ．１３１
Ｎｏ．１２３,Ｎｏ．１２３
Ｎｏ．１２４,Ｎｏ．１２４
Ｎｏ．１２５,Ｎｏ．１２５
Ｎｏ．１２６,Ｎｏ．１２６
Ｎｏ．１３２,Ｎｏ．１３２
Ｎｏ．１３３,Ｎｏ．１３３
Ｎｏ．１３５,Ｎｏ．１３５
Ｎｏ．１３６,Ｎｏ．１３６
Ｎｏ．１３９,Ｎｏ．１３９
Ｎｏ．１３７,Ｎｏ．１３７
Ｎｏ．１４０,Ｎｏ．１４０
Ｎｏ．１３８,Ｎｏ．１３８
Ｎｏ．１４１,Ｎｏ．１４１
Ｎｏ．１４６,Ｎｏ．１４６
Ｎｏ．１４７,Ｎｏ．１４７
Ｎｏ．１４８,Ｎｏ．１４８
Ｎｏ．１４２,Ｎｏ．１４２
Ｎｏ．１４３,Ｎｏ．１４３
Ｎｏ．１４４,Ｎｏ．１４４
Ｎｏ．１４５,Ｎｏ．１４５
Ｎｏ．１１２,Ｎｏ．１１２
Ｎｏ．１１３,Ｎｏ．１１３
妬みのシャドウ,妬みの黑影
嫉みのブラックウーズ,嫉みの黑軟泥怪
未熟なサラスヴァティ,未熟な妙音天女
早成のサラスヴァティ,早成の妙音天女
未熟なセタンタ,未熟な瑟坦特
早成のセタンタ,早成の瑟坦特
未熟なキクリヒメ,未熟な菊理媛
早成のキクリヒメ,早成の菊理媛
ガブリエル・アバター,加百列・化身
人修羅,人修羅
人修羅と縁あり　クー・フーリン,人修羅と縁あり　庫夫林
人修羅と縁あり　ギリメカラ,人修羅と縁あり　基力梅KA拉
人修羅と縁あり　ピクシー,人修羅と縁あり　皮克希
人修羅と縁あり　アラハバキ,人修羅と縁あり　荒霸吐
人修羅と縁あり　ティターニア,人修羅と縁あり　蒂坦倪亞
人修羅と縁あり　パールヴァティ,人修羅と縁あり　巴爾瓦蒂
未熟なギュウキ,未熟な牛鬼
未熟なマカミ,未熟な真神
朱炎のケットシー,朱炎の猫妖精
朱炎のカーシー,朱炎の犬妖
朱炎のピクシー,朱炎の皮克希
朱炎のノッカー,朱炎の諾克
朱炎のセタンタ,朱炎の瑟坦特
朱炎のブッカブー,朱炎の布KA卜
朱炎のケルピー,朱炎の凱爾皮
朱炎のクー・フーリン,朱炎の庫夫林
朱炎のフォーモリア,朱炎の弗莫爾
朱炎のキンキ,朱炎の金鬼
朱炎のスイキ,朱炎の水鬼
朱炎のフウキ,朱炎の風鬼
朱炎のマッハ,朱炎の瑪哈
朱炎のバイブ・カハ,朱炎の芭一波・KA赫
朱炎のティターニア,朱炎の蒂坦倪亞
朱炎のオベロン,朱炎の奥伯隆
朱炎のスカアハ,朱炎の斯KA哈
朱炎のクイーンメイブ,朱炎の妖精女王
朱炎のモリーアン,朱炎の莫瑞甘
朱炎のオンギョウキ,朱炎の隱形鬼
猛襲のカーリー,猛襲の迦梨
猛襲のダーキニー,猛襲の荼吉尼
猛襲のターラカ,猛襲の陀羅迦
猛襲のギリメカラ,猛襲の基力梅KA拉
猛襲のジャアクフロスト,猛襲の邪惡霜精
猛襲のクラマテング,猛襲の鞍馬天狗
猛襲のユルング,猛襲の虹蛇
悪夢のカラステング,悪夢の鴉天狗
悪夢のラクシャーサ,悪夢の羅刹
悪夢のチェルノボグ,悪夢の切爾諾伯格
悪夢のアルプ,悪夢の阿爾普
墨守のノズチ,墨守の野槌
墨守のタラスク,墨守の泰拉斯奎
墨守のタンキ,墨守の丹龜
墨守のケルベロス,墨守の克魯貝洛斯
墨守のオルトロス,墨守の欧特魯斯
悪夢のノズチ,悪夢の野槌
悪夢のキウン,悪夢の迦温
悪夢のナンディ,悪夢の南迪
悪夢のモスマン,悪夢の天蛾人
悪夢のカトブレパス,悪夢のKA托布莱巴斯
悪夢のライジュウ,悪夢の雷獣
悪夢のアズミ,悪夢の安曇神
悪夢のニーズホッグ,悪夢の尼德霍格
猛襲のファントム,猛襲の鬼魅
異形のハヤグリーヴァ,異形の馬頭金剛
異形のガルム,異形の加姆
異形のタンキ,異形の丹龜
異形のトウコツ,異形の檮兀
異形のシーサー,異形の獅爺
異形のマカミ,異形の真神
猛襲のジャックランタン,猛襲の杰克灯籠
猛襲のユニコーン,猛襲の独角獣
猛襲のギュウキ,猛襲の牛鬼
幻想のジャンヌ,幻想の貞德
幻想のシヴァ,幻想の湿婆
幻想のヴィシュヌ,幻想の毘湿奴
幻想のバロン,幻想の巴隆
幻想のランダ,幻想の蘭達
幻想のラクシュミ,幻想の吉祥天
幻想のガルーダ,幻想の迦楼羅
速成のハトホル,速成の哈索爾
速成のネコマタ,速成の猫妖
速成のキクリヒメ,速成の菊理媛
定めの泉に住いしノルン,定めの泉に住いし諾倫
幻想のノルン,幻想の諾倫
未熟なサンタフロスト,未熟な聖誕霜精
未熟なユルング,未熟な虹蛇
未熟なツィツィミトル,未熟な資資米特爾
未熟なジャンヌ,未熟な貞德
未熟なラクシュミ,未熟な吉祥天
幻想のスサノオ,幻想の素盞鳴尊
非凡なタヂカラオ,非凡な手力男
非凡なタケミナカタ,非凡な建御名方
非凡なオオクニヌシ,非凡な大国主
煌くスザク,煌く朱雀
黎明のドゥン,黎明の達温
黎明のカーリー,黎明の迦梨
黎明のダーキニー,黎明の荼吉尼
黎明のブロブ,黎明の果凍怪
黎明のトゥルダク,黎明の吐魯達克
黎明のファントム,黎明の鬼魅
悪夢のクヴァンダ,悪夢の鳩盤荼
悪夢のポルターガイスト,悪夢の騷靈
悪夢のヤカー,悪夢の雅KA
天斑のハクタク,天斑の白澤
未熟なスザク,未熟な朱雀
幸運のモー・ショボー,幸運の莫・索保
幸運のリャナンシー,幸運の拉南希
幸運のヴィーヴル,幸運の薇薇爾
怒涛のフェロモン　ラクシャーサ,怒涛の費洛蒙　羅刹
モテ殺しのパズス,モテ殺しの巴祖祖
モテ満艦飾スザク,モテ満艦飾朱雀
むせび泣かしのエリゴール,哽咽の埃力格
女を濡らすヤクシャ,女を濡らす夜叉
激モテ流星群セイリュウ,激モテ流星群青龍
盛王ＧＵＹクラマテング,盛王ＧＵＹ鞍馬天狗
漆黒のチェルノボグ,漆黒の切爾諾伯格
女神をオトすマタドール,女神をオトす斗牛士
未熟なノルン,未熟な諾倫
未熟なアトロポス,未熟な阿特羅波斯
未熟なラケシス,未熟な拉克西斯
未熟なクロト,未熟な可羅索
Ｎｏ．１６７,Ｎｏ．１６７
Ｎｏ．１５８,Ｎｏ．１５８
Ｎｏ．１５４,Ｎｏ．１５４
Ｎｏ．１５５,Ｎｏ．１５５
Ｎｏ．１６８,Ｎｏ．１６８
Ｎｏ．１６９,Ｎｏ．１６９
Ｎｏ．１５７,Ｎｏ．１５７
Ｎｏ．１５６,Ｎｏ．１５６
Ｎｏ．１４９,Ｎｏ．１４９
Ｎｏ．１５０,Ｎｏ．１５０
Ｎｏ．１５１,Ｎｏ．１５１
Ｎｏ．１５２,Ｎｏ．１５２
Ｎｏ．１５９,Ｎｏ．１５９
Ｎｏ．１５３,Ｎｏ．１５３
Ｎｏ．１６０,Ｎｏ．１６０
Ｎｏ．１６１,Ｎｏ．１６１
Ｎｏ．１６６,Ｎｏ．１６６
Ｎｏ．１６２,Ｎｏ．１６２
Ｎｏ．１６３,Ｎｏ．１６３
Ｎｏ．１６４,Ｎｏ．１６４
Ｎｏ．１６５,Ｎｏ．１６５
ＧＬ－０１,ＧＬ－０１
ＧＬ－０２,ＧＬ－０２
悲嘆に暮れしラミア,悲嘆に暮れし拉弥亞
ＧＡ－０１,ＧＡ－０１
愉悦なる破壊者アレス,愉悦なる破壊者阿瑞斯
嫉妬に溢れたフリアイ,嫉妬に溢れた弗里亞
殺意に満ちたフリアイ,殺意に満ちた弗里亞
慈悲を持たぬフリアイ,慈悲を持たぬ弗里亞
未熟なキングフロスト,未熟な霜精之王
スイカ,西瓜
異形のスイカ,異形の西瓜
遮那王ヨシツネ,遮那王義經
五条大橋のヨシツネ,五条大橋の義經
強襲のヨシツネ,強襲の義經
八艘跳びのヨシツネ,八艘跳びの義經
未熟なフェンリル,未熟な芬里爾
砲台,砲台
未熟なニャルラトホテプ,未熟な奈亞拉托提普
未熟なダツエバ,未熟な奪衣婆
幸運のアチェリ,幸運の阿切莉
幸運のアルケニー,幸運の阿剌克涅
幸運のイシュタル,幸運の伊絲塔
晩成のアンズー,晩成の安祖
晩成のウベルリ,晩成の優派爾烏里
晩成のコカトライス,晩成の鷄蛇
晩成のバジリスク,晩成の巴西利斯克
晩成のアルテミス,晩成の阿提米絲
晩成のヴェータラ,晩成の毘陀羅
異形のターラカ,異形の陀羅迦
異形のヨモツシコメ,異形の黄泉丑女
異形のラミア,異形の拉弥亞
異形のゴルゴン,異形の戈爾貢
異形のカトブレパス,異形のKA托布莱巴斯
異形のウベルリ,異形の優派爾烏里
異形のコカトライス,異形の鷄蛇
異形のヴェータラ,異形の毘陀羅
悪夢のセイテンタイセイ,悪夢の齊天大聖
悪夢のキングー,悪夢の昆古
悪夢のアンズー,悪夢の安祖
悪夢のエキンム,悪夢の埃提姆
悪夢のパズス,悪夢の巴祖祖
煽情のラミア,煽情の拉弥亞
煽情のイシス,煽情の伊西絲
煽情のアルテミス,煽情の阿提米絲
煽情のヘカーテ,煽情の赫KA特
晩成のモロク,晩成の摩洛
幻想のイシュタル,幻想の伊絲塔
未熟なヤクシャ,未熟な夜叉
クロエ,扣依
未熟なセイリュウ,未熟な青龍
未熟なビャッコ,未熟な白虎
未熟なゲンブ,未熟な玄武
炎を食らうフレイミーズ,炎を食らう火精靈
魔力に満ちたバフォメット,魔力に満ちた巴風特
寒さに強いジャックフロスト,寒さに強い杰克霜精
瀕死のカハク,瀕死の花魄
かよわいモムノフ,かよわい桃生
体が金属のスライム,体が金属の軟泥怪
自愛に満ちたモー・ショボー,自愛に満ちた莫・索保
ぼっちのケルベロス,孤身の克魯貝洛斯
器用貧乏なクルースニク,器用貧乏な克雷斯尼克
未熟なガブリエル,未熟な加百列
未熟なキマイラ,未熟な奇美拉
未熟なイシス,未熟な伊西絲
未熟なマタドール,未熟な斗牛士
敏捷なリリム,敏捷な莉莉姆
異形のヤタガラス,異形の八咫烏
天突のヤタガラス,天突の八咫烏
異形のカイチ,異形の隗豸
天突のカイチ,天突の隗豸
異形のケツアルカトル,異形の羽蛇神
天突のケツアルカトル,天突の羽蛇神
若駒ユニコーン,若駒独角獣
若駒バイコーン,若駒双角獣
敏捷なハヤグリーヴァ,敏捷な馬頭金剛
敏捷なヴァルキリー,敏捷な女武神
未熟なサマエル,未熟な薩麦爾
未熟なヴァスキ,未熟な婆蘇吉
狂喜のモー・ショボー,狂喜の莫・索保
狂喜のニュクス,狂喜の倪克斯
狂喜のスサノオ,狂喜の素盞鳴尊
速成のアマテラス,速成の天照
巨大なインキュバス,巨大な男梦魔
小さなインキュバス,小さな男梦魔
喜びのインキュバス,喜びの男梦魔
怒りのインキュバス,怒りの男梦魔
哀しみのインキュバス,哀しみの男梦魔
楽しさのインキュバス,楽しさの男梦魔
懐刀のラクシャーサ,懐刀の羅刹
懐刀のナラシンハ,懐刀の那羅辛哈
懐刀のカラステング,懐刀の鴉天狗
バイロケーション　メタトロン,二重身　梅塔特隆
バイロケーション　アスタロト,二重身　阿斯塔羅斯
緋色の幻影　マザーハーロット,緋色の幻影　巴比倫大淫婦
ＴＯ２Ｕアルヴァシャク,ＴＯ２Ｕ阿瓦沙克
速成のアークエンジェル,速成の大天使
速成のマッハ,速成の瑪哈
速成のコダマ,速成の木靈
速成のピクシー,速成の皮克希
速成のイヌガミ,速成の犬神
速成のシキガミ,速成の式神
速成のタラスク,速成の泰拉斯奎
速成のヤカー,速成の雅KA
速成のフレイミーズ,速成の火精靈
速成のアクアンズ,速成の水精靈
速成のアーシーズ,速成の地精靈
速成のエアロス,速成の風精靈
未熟なインドラ,未熟な因陀羅
未熟なミシャグジさま,未熟な御社宮司神
未熟なクルースニク,未熟な克雷斯尼克
未熟なインドラジット,未熟な因陀羅耆
未熟なクドラク,未熟な古德拉克
金翼神鳥ガルーダ,金翼神鳥迦楼羅
懐刀のギリメカラ,懐刀の基力梅KA拉
懐刀のトール,懐刀の托爾
懐刀のヨシツネ,懐刀の義經
懐刀のマタドール,懐刀の斗牛士
懐刀のアレス,懐刀の阿瑞斯
懐刀のセイテンタイセイ,懐刀の齊天大聖
未熟なアナンタ,未熟な阿難陀
悪夢のスイカ,悪夢の西瓜
ＢＯＮＵＳスイカ,ＢＯＮＵＳ西瓜
開放的なラクシュミ,開放的な吉祥天
開放的なリリス,開放的な莉莉絲
開放的なイシュタル,開放的な伊絲塔
開放的なラファエル,開放的な拉斐爾
開放的なクルースニク,開放的な克雷斯尼克
開放的なロキ,開放的な洛基
開放的なタヂカラオ,開放的な手力男
煩悩の幻影　マーラ,煩悩の幻影　魔羅
未熟な小悪魔リリム,未熟な小悪魔莉莉姆
魔人を生み出す者　パワー,魔人を生み出す者　能天使
魔人を生み出す者　ヤタガラス,魔人を生み出す者　八咫烏
魔人を生み出す者　ロア,魔人を生み出す者　羅瓦
魔人を生み出す者　ドゥン,魔人を生み出す者　達温
魔人を生み出す者　ベリス,魔人を生み出す者　比利士
魔人を生み出す者　ケツアルカトル,魔人を生み出す者　羽蛇神
赤枝の英雄　クー・フーリン,赤枝の英雄　庫夫林
鋼身無比キンキ,鋼身無比金鬼
未熟なホウオウ,未熟な鳳凰
未熟なエンジェル,未熟な天使
天突のオンモラキ,天突の陰魔羅鬼
天突のケットシー,天突の猫妖精
天突のポルターガイスト,天突の騷靈
天突のマッハ,天突の瑪哈
天突のトロール,天突の巨怪
天突のグール,天突の食尸鬼
天突のウベルリ,天突の優派爾烏里
天突のジャックフロスト,天突の杰克霜精
天突のスライム,天突の軟泥怪
天突のバフォメット,天突の巴風特
天突のギュウキ,天突の牛鬼
天突のコロンゾン,天突の克倫佐
未熟なタム・リン,未熟な塔姆莱茵
終笛の幻影　トランペッター,終笛の幻影　吹号者
死蝿の幻影　ベルゼブブ（蠅）,死蝿の幻影　別西卜（蠅）
黒嵐の幻影　セト,黒嵐の幻影　賽特
極彩色のコダマ,極彩色の木靈
極彩色のミトラ,極彩色の密特拉
極彩色のジャックフロスト,極彩色の杰克霜精
極彩色のバロン,極彩色の巴隆
極彩色のスライム,極彩色の軟泥怪
極彩色のフラロウス,極彩色の佛勞洛斯
速成のガルム,速成の加姆
速成のバイコーン,速成の双角獣
速成のギュウキ,速成の牛鬼
速成のフェンリル,速成の芬里爾
異能のフェンリル,異能の芬里爾
未熟なグルル,未熟な格魯魯
未熟なトキサダ,未熟な時貞
護法魔王尊クラマテング,護法魔王尊鞍馬天狗
レッドブレイブ　マタドール,紅色勇士　斗牛士
未熟なゲーデ,未熟な盖迪
聖夜のエンジェル,聖夜の天使
献身のヴィヴィアン,献身の薇薇安
豪傑なフロストエース,豪傑な王牌霜精
バイロケーション　ミカエル,二重身　米迦勒
バイロケーション　アザゼル,二重身　阿撒資勒
ブラストロード　ヘルズエンジェル,爆炸荷載　地獄天使
速成のカイチ,速成の隗豸
速成のトウテツ,速成の饕餮
聰明なアヌビス,聰明な阿努比斯
聰明なハトホル,聰明な哈索爾
聰明なアピス,聰明な阿匹斯
聰明なトート,聰明な圖特
鯨波の阿修羅ケルベロス,鯨波の阿修羅克魯貝洛斯
らんちゅう,蘭寿
幸運のフォルトゥナ,幸運の福圖娜
熾愛の幻影　セラフ,熾愛の幻影　撒拉弗
吟詠の幻影　ゴモリー,吟詠の幻影　格莫瑞
ﾌﾞﾚｽ攻撃装置,ﾌﾞﾚｽ攻撃装置
神の息吹発射装置,神の息吹発射装置
セツ,刹
アズラ,阿祖拉
ビッグノズチ,大野槌
サタンブレス１,撒旦吹息１
サタンブレス２,撒旦吹息２
メギドラオン,毀滅之火
プネウマ,普紐瑪
艱苦に耐えしミトラ,艱苦に耐えし密特拉
艱苦に耐えしオーディン,艱苦に耐えし奥汀
艱苦に耐えしリリス,艱苦に耐えし莉莉絲
艱苦に耐えしモロク,艱苦に耐えし摩洛
超克したマダ,超克した摩陀
超克したヤマタノオロチ,超克した八岐大蛇
超克したベルゼブブ（人）,超克した別西卜（人）
異能のセト,異能の賽特
異能のアンドラス,異能の安德拉斯
異能のケルベロス,異能の克魯貝洛斯
狩猟の女神　スカディ,狩猟の女神　絲KA蒂
聰明なスフィンクス,聰明な斯芬克斯
献身のアヌビス,献身の阿努比斯
メロン,蜜瓜
九曜のアマテラス,九曜の天照
九曜のビシャモンテン,九曜の毘沙門天
繋馬のタヂカラオ,繋馬の手力男
繋馬のオモイカネ,繋馬の思兼神
繋馬のアメノウズメ,繋馬の天鈿女命
繋馬のコウモクテン,繋馬の广目天
繋馬のジコクテン,繋馬の持国天
繋馬のゾウチョウテン,繋馬の增長天
祭囃子のハイピクシー,祭囃子の高等皮克希
無垢なる狂姫　アリス,無垢なる狂姫　愛麗絲
神の代理人　メタトロン,神の代理人　梅塔特隆
陣風のスレイプニル,陣風の斯雷普尼爾
現身の主ベルゼブブ,現身の主別西卜
気高き主ベルゼブブ,気高き主別西卜
サバトの支配者バフォメット,薩巴托の支配者巴風特
聖女の幻影　ジャンヌ,聖女の幻影　貞德
幼気なケルベロス,幼気な克魯貝洛斯
幼気なジャックフロスト,幼気な杰克霜精
幼気な小悪魔リリム,幼気な小悪魔莉莉姆
幼気なタム・リン,幼気な塔姆莱茵
ホワイトスイート　ラクシュミ,白套房　吉祥天
ブラックビター　モー・ショボー,黑金　莫・索保
ホワイトスイート　ジャンヌ,白套房　貞德
ブラックビター　ティターニア,黑金　蒂坦倪亞
ホワイトスイート　パールヴァティ,白套房　巴爾瓦蒂
ブラックビター　ツィツィミトル,黑金　資資米特爾
ＩＣオンモラキ,ＩＣ陰魔羅鬼
ＩＣカハク,ＩＣ花魄
ＩＣコダマ,ＩＣ木靈
ＩＣケットシー,ＩＣ猫妖精
ＩＣピクシー,ＩＣ皮克希
ＩＣアルプ,ＩＣ阿爾普
ＩＣシキガミ,ＩＣ式神
ＩＣガキ,ＩＣ餓鬼
ＩＣポルターガイスト,ＩＣ騷靈
ＩＣパワー,ＩＣ能天使
ＩＣスパルナ,ＩＣ金翅鳥
ＩＣケルベロス,ＩＣ克魯貝洛斯
ＩＣネコマタ,ＩＣ猫妖
ＩＣヨモツシコメ,ＩＣ黄泉丑女
ＩＣピシャーチャ,ＩＣ畢舍遮
ＩＣクー・フーリン,ＩＣ庫夫林
ＩＣデカラビア,ＩＣ單KA拉比
ＩＣラクシュミ,ＩＣ吉祥天
【デバッグ】殴られ夫,【調試】殴られ夫
